kanji,english,explanation,primitive
修,discipline,Person . . . walking stick . . . taskmaster . . . shape.,
珍,rare,Jewel . . . umbrella . . . shape.,
診,checkup,_Words_ . . . _umbrella_ . . . _shape_. The key word refers to a medical examination.,
文,sentence,"Under the familiar _top hat_ we see a crisscross pattern or design, like that found on woodwork or garments. This should make an ugly enough image to help remember it. It can be associated with **sentence** by thinking of a **sentence** as a grammatical pattern.","* The primitive meaning for this character will be _plaid_ , the familiar crisscross pattern frequently used in textiles."
対,vis-à-vis,Plaid . . . glue.,
紋,family crest,Thread . . . plaid.,
蚊,mosquito,Insect . . . plaid.,
斑,speckled,Ball . . . plaid . . . ball.,
斉,adjusted,_Plaid_ . . . _fenceposts_ . . . _two_. Do not confuse with _just so_ (Frame 414).,
剤,dose,_Adjust_ . . . _saber_. Think of this as a **dose** of medicine.,
済,finish,"_Water_ . . . _adjust_. Do not confuse with _complete_ (Frame 101), _end_ (Frame 1452), or _perfect_ (Frame 199).",
斎,purification,"_Plaid_ . . . _fenceposts_ . . . _altar_. This is a  ""religious"" **purification** , which distinguishes it from the simple kanji for _pure_ (Frame 1659).",
粛,solemn,"_Rake_ . . . _rice_ . . . _fenceposts_. Take special care to draw this character in the same order as the primitive. Note too, that the fourth stroke for _rice_ is already taken care of by the fourth stroke of _rake_.",
塁,bases,The kanji of this frame refers to the four **bases** that are placed at the corners of a baseball infield. The elements: _field_ . . . _sparkler_ . . . _ground_.,
楽,music,Dove . . . sparkler . . . tree.,
薬,medicine,Flowers . . . music.,
率,ratio,_Mysterious_ . . . _sparkler_ . . . _ten_. Do not confuse with _proportion_ (Frame 1673).,
渋,astringent,Water . . . footprint . . . sparkler.,
摂,vicarious,_Fingers_ . . . _ear_ . . . _sparkler_. Do not confuse with _substitute_ (Frame 1080).,
央,center,"The elements depict a _St. Bernard_ with its head and paws keeping their stick-like form, but with the middle or **center** of its body filled out in a box-like shape.",
英,England,_Flowers_ . . . _center_. This is another abbreviation used to identify a country by the pronunciation of the kanji.,
映,reflect,Sun . . . center.,
赤,red,_Ground_ . . . _dagger_ . . . _little_. The two strokes of the _dagger_ take the place of the middle stroke of _little_.,"* As a primitive on the left, this kanji keeps the same form. Elsewhere, the first two strokes are abbreviated to a single dot. This latter form will take the meaning of an _apple_."
赦,pardon,Red . . . taskmaster.,
変,unusual,Apple . . . walking legs.,
跡,tracks,Wooden leg . . . apple.,
蛮,barbarian,Apple . . . insects.,
恋,romance,Apple . . . heart.,
湾,gulf,Water . . . apple . . . bow.,
黄,yellow,Salad . . . sprout . . . animal legs.,
横,sideways,Tree . . . yellow.,
把,grasp,Fingers . . . mosaic.,
色,color,Bound up . . . mosaic.,
絶,discontinue,Thread . . . color.,
艶,glossy,Bountiful . . . color.,
肥,fertilizer,Flesh . . . mosaic.,
甘,sweet,"This kanji is a pictograph of a small wicker basket. (The extra short stroke in the middle helps keep it distinct from the character for _twenty_.) All one needs to add is some image of **sweet** cakes or breads carried in the basket, and the union of picture and meaning is complete. Take care not to confuse with _confectionary_ (Frame 1203).","* As a primitive, the pictograph's meaning of a _wicker basket_ is used, a small one like the kind used for picnics."
紺,navy blue,Thread . . . wicker basket.,
某,so-and-so,The key word here refers to the adjective for an unspecified person or thing. Its elements: _wicker basket_ . . . _tree_.,
謀,conspire,Words . . . so-and-so.,
媒,mediator,Woman . . . so-and-so.,
欺,deceit,Bushel basket . . . yawn.,
棋,chess piece,Tree . . . bushel basket.,
旗,national flag,Banner . . . bushel basket.,
期,period,"_Bushel basket_ . . . _month_. As the _month_ indicates, this has to do with **periods** of time.",
碁,Go,_Bushel basket_ . . . _stones_. The key word refers to the Japanese game played with black and white colored _stones_ on a lined board.,
基,fundamentals,Bushel basket . . . soil.,
甚,tremendously,"_Bushel basket_ . . . _equal_. Note how the first stroke of _equal_ doubles up with the sixth stroke of the _bushel basket_ , and how the _animal legs_ of the _bushel basket_ are dropped to make room for the _human legs_ of _equal_.",
勘,intuition,Tremendously . . . muscle.,
堪,withstand,Soil . . . tremendously.,
貴,precious,Purse . . . shells.,
遺,bequeath,Precious . . . road.,
遣,dispatch,"This kanji takes away the _maestro_ 's baton and replaces it with a _purse_. The _road_ represents his being **dispatched** on his way a san obvious misfit. You will remember that when he did have his baton, he was being _chased_ down the road by his fans. All of which shows what a difference a single stroke can make!",
潰,defile,Water . . . precious.,
舞,dance,"The top two strokes show someone _reclining_ , and the next six are a pictograph of an oaken _tub_ ribbed with metal strips, like the kind once used for bathing. At the bottom, the _sunglasses_ round off the character.",
無,nothingness,"This character is the Japanese character for the supreme philosophical principle of much Oriental thought: **nothingness**. Make use of the oaken _tub_ from the previous frame, and add to that the _oven fire_ at the bottom.",
組,association,Thread . . . shelf.,
粗,coarse,Rice . . . shelf.,
租,tariff,Wheat . . . shelf.,
狙,aim at,Pack of wild dogs . . . shelf.,
祖,ancestor,Altar . . . shelf.,
阻,thwart,Pinnacle . . . shelf.,
査,investigate,Tree . . . shelf.,
助,help,"_Shelf_ . . . _power_. The reason why the _shelf_ appears on the left here is that the right side is the normal position for power, the stronger primitive. Indeed, the only exception in all the kanji is the character for _add_ (Frame 932).",
宜,best regards,"This kanji, a polite way of expressing one's **best regards** to another. Its elements: _house_ . . . _shelf_.",
畳,tatami mat,Rice field . . . crown . . . shelf.,
並,row,"This character represents a slightly stylized duplication of the kanji for _stand up_. By lengthening the sixth and seventh strokes, you will see how this is done.","* The primitive meaning remains the same as that of the kanji, but special attention has to be given to the varieties of shape this element can undergo. It is the most difficult one you will meet in this book. When it appears BENEATH its relative primitive, the top three strokes are omitted, though the third horizontal stroke may be doubled up with the bottom horizontal stroke of the element above it. ATOP its relative primitive, it can keep its kanji shape. When it does not, the top three strokes are removed and all of them are replaced BELOW the primitive's bottom line. We shall acknowledge this latter transformation by changing its meaning to _upside down in a row_."
普,universal,Row . . . sun.,
譜,musical score,Words . . . universal.,
湿,damp,Water . . . sun . . . row.,
顕,appear,Sun . . . row . . . heads.,
繊,slender,Thread . . . Thanksgiving . . . row.,
霊,spirits,"_Rain_ . . . _two_ . . . _row_. This character will refer only to the inhabitants of the  "" **spirit** world, "" and not to moods or temperaments, for which we will learn another character in frame 2030.",
業,profession,In a row upside down . . . not yet.,
撲,slap,Fingers . . . upside down in a row . . . husbands.,
僕,me,"This key word is yet another synonym for ""I,"" somewhat more familiar in tone. As a rule, it is a word that boys and men use to refer to themselves. Its elements: _person_ . . . _husbands_ . . . _in a row upside down_.",
共,together,_Salad_ . . . _animal legs_.,"* The primitive retains the meaning of _together_. Imagine things _strung together_ like fish on a line, beads on a thread, or whatever. The main thing is to avoid putting them in a straight row, which would confound this element with the previous one. As we saw with _bushel basket_ , this primitive can join its legs to the final horizontal stroke and stretch them to form an enclosure."
供,submit,"**Submit** here is a transitive verb, meaning to offer or present. Its elements: _person_ . . . _strung together_.",
異,uncommon,Brains . . . together.,
翼,wing,Feathers . . . uncommon.,
戴,accept humbly,Thanksgiving . . . uncommon.,
洪,deluge,Water . . . strung together.,
港,harbor,Deluge . . . snakes.,
暴,outburst,Sun . . . strung together . . . rice grains.,
爆,bomb,Fire . . . outburst.,
恭,respect,Strung together . . . valentine.,
選,elect,Two snakes . . . strung together . . . road.,
殿,Mr.,Flags . . . strung together . . . missile.,
井,well,"Recalling that there are no circular strokes, and that the shape of the square and the square within a square (Frame 630) have already been used, it should be relatively easy to see how this character can be consider a pictograph of a **well**.",
丼,donburi,"_Donburi_ is a bowl of rice with eel or meat on it. The character is a pictograph, perhaps designed by someone who felt that the portion of meat he was served with his bowl of rice looked to be no more than a tiny _drop_ in the _well_.",
囲,surround,Well . . . pent in.,
耕,till,Christmas tree . . . well.,
亜,Asia,"In this kanji, the abbreviation for **Asia** , you should be able to see the character for _mouth_ behind the Roman numeral II.",
悪,bad,Asia . . . heart.,
円,circle,"This kanji, also used for Yen, is one you are not likely to need to study formally, since you can hardly get around in Japan without it. The connection is that the yennies, like pennies, are **circular** in shape. In any case, the elements are: _glass canopy_ . . . _walking stick_ . . . _one_.",
角,angle,"_Bound up_ . . . _glass canopy_ . . . _walking stick_ . . . _two_. If you write the character once, you will see why we avoided using the element for _soil_ , which would prompt you to write it in improper order.","* As a primitive, imagine the tool used by draftsmen and carpenters to draw right- _angles_."
触,contact,Angle . . . insect.,
解,unravel,Angle . . . dagger . . . cow.,
再,again,_Jewel_ . . . with a _belt_ hung on it. Note how the _belt_ is drawn right after the first stroke of _jewel_.,
講,lecture,Words . . . funnel.,
購,subscription,_Shells_ . . . _funnel_. The key word is meant to suggest magazine **subscriptions** and the like.,
構,posture,Tree . . . funnel.,
溝,gutter,Water . . . funnel.,
論,argument,"_Words_ . . . _meeting_ . . . _scrapbook_. The **argument** here is a process of academic reasoning, not a personal quarrel or spat.",
倫,ethics,Person . . . meeting . . . scrapbook.,
輪,wheel,Car . . . meeting . . . scrapbook.,
偏,partial,_Person_ . . . _door_ . . . _scrapbook_. The sense of the key-word is that of having a bias or preference for someone or something.,
遍,everywhere,Door . . . scrapbook . . . a road.,
編,compilation,Thread . . . door . . . scrapbook.,
冊,tome,This key word is a counter for books. It differs from _scrapbook_ both in the writing order and in the extension of the second horizontal stroke.,
柵,palisade,Tree . . . tome.,
典,code,"We introduce this character here because of its connection to the book-related kanji treated above. It is based on the character for _bend_ (frame 1256), whose last stroke is lengthened to coincide with the first stroke of the element for _tool_.",
氏,family name,Pay close attention to the stroke order of the elements when learning to write this character. The elements: a long _drop_ . . . _fishhook_ . . . a _one_ . . . _fishhook_.,
紙,paper,Thread . . . family name.,
婚,marriage,Woman . . . family name . . . day.,
低,lower,Person . . . calling card.,
抵,resist,Fingers . . . calling card.,
底,bottom,Cave . . . calling card.,
民,people,"In place of the _drop_ at the start of the character for _family name_ , we have a _mouth_ , which makes you think of the ""vox populi.""",
眠,sleep,Eyes . . . people.,
捕,catch,Fingers . . . dog tag.,
哺,suckle,Mouth . . . dog tag.,
